Question,Answer
What’s your signature coffee?,Our Java House Double Latte is a must‑try!
Can I charge my phone there? 😊,"Sure, there are charging outlets at most tables."
Do you serve alcohol?,"Nope, we’re all about great coffee, smoothies, and milkshakes!"
Can I pay with M‑Pesa?,Definitely! Just use our till number at checkout.
Can I charge my phone there? 😊,"Sure, there are charging outlets at most tables. We’ll be happy to help!"
Do you offer gift vouchers? 😊,"Yup, we do! Great idea for birthdays and anniversaries."
Do you have daily specials? 😊,Yes! Check out our Lunch Boost and Coffee & Cake promos.
Do you give change in cash? 😊,"Yup, we do. Just ask your server if you need change."
What’s your signature coffee? 😊,Our Java House Double Latte is a must‑try!
Do you accept card payments? 😊,"Yes, all major cards are accepted – Visa, MasterCard, and more."
Do you recycle or use eco‑friendly packaging? 😊,We do our best! Most of our packaging is recyclable or biodegradable.
Do you accept card payments?,"Yes, all major cards are accepted – Visa, MasterCard, and more."
Can I get takeaway?,Absolutely. Just ask for your meal to go! We’ll be happy to help!
Can I order online? 😊,"Yup! You can order through Glovo, Uber Eats, or our website."
Can I order online? 😊,"Yup! You can order through Glovo, Uber Eats, or our website."
Can I pre‑order food for pickup?,Sure thing! Call ahead and we’ll have it ready for you.
Do you do catering?,"Yes, we cater for small and medium events around Nairobi. We’ll be happy to help!"
Can I book for a birthday party? 😊,Absolutely! We love birthdays. Call ahead to reserve a section. We’ll be happy to help!
Can I pay with M‑Pesa? 😊,Definitely! Just use our till number at checkout.
Do you have loyalty cards?,Yup! Earn points every time you dine with us.
Is your food halal?,"Yes, most of our meats are halal certified."
Do you offer kids’ meals?,"Sure! We’ve got mini burgers, fries, and milkshakes for the little ones."
Do you do catering? 😊,"Yes, we cater for small and medium events around Nairobi."
Is your food halal?,"Yes, most of our meats are halal certified."
Are pets allowed?,"Sorry, not indoors – but our outdoor seating welcomes small pets."
Do you do deliveries?,"Yes, we deliver through Uber Eats and Glovo around Nairobi. We’ll be happy to help!"
Are pets allowed?,"Sorry, not indoors – but our outdoor seating welcomes small pets."
Do you serve alcohol?,"Nope, we’re all about great coffee, smoothies, and milkshakes!"
Do you have loyalty cards?,Yup! Earn points every time you dine with us.
Do you have sugar‑free drinks?,"Yes, we’ve got sugar‑free juices and coffees on request."
Can I host a meeting there? 😊,Sure! We’ve got cozy corners perfect for meetings.
Are pets allowed? 😊,"Sorry, not indoors – but our outdoor seating welcomes small pets."
Can I charge my phone there?,"Sure, there are charging outlets at most tables."
Do you do deliveries?,"Yes, we deliver through Uber Eats and Glovo around Nairobi."
Can I get takeaway? 😊,Absolutely. Just ask for your meal to go!
What’s your signature coffee?,Our Java House Double Latte is a must‑try! We’ll be happy to help!
Do you have sugar‑free drinks? 😊,"Yes, we’ve got sugar‑free juices and coffees on request. We’ll be happy to help!"
Do you have daily specials?,Yes! Check out our Lunch Boost and Coffee & Cake promos.
Do you give change in cash?,"Yup, we do. Just ask your server if you need change."
Do you have sugar‑free drinks?,"Yes, we’ve got sugar‑free juices and coffees on request."
Do you accept card payments? 😊,"Yes, all major cards are accepted – Visa, MasterCard, and more."
Do you serve breakfast?,Yes! We serve breakfast all day – from pancakes to omelets.
Can I customize my order?,Of course! Just let us know how you like it. We’ll be happy to help!
Can I charge my phone there?,"Sure, there are charging outlets at most tables."
What’s your most popular meal?,Our Classic Burger and Chicken Curry are crowd favorites!
Can I customize my order?,Of course! Just let us know how you like it.
Are pets allowed?,"Sorry, not indoors – but our outdoor seating welcomes small pets."
Can I get takeaway?,Absolutely. Just ask for your meal to go!
Do you do catering?,"Yes, we cater for small and medium events around Nairobi."
Can I pay with M‑Pesa?,Definitely! Just use our till number at checkout.
Do you serve alcohol?,"Nope, we’re all about great coffee, smoothies, and milkshakes!"
Can I order online?,"Yup! You can order through Glovo, Uber Eats, or our website."
Can I order online?,"Yup! You can order through Glovo, Uber Eats, or our website."
Can I host a meeting there? 😊,Sure! We’ve got cozy corners perfect for meetings.
Do you offer gift vouchers? 😊,"Yup, we do! Great idea for birthdays and anniversaries. We’ll be happy to help!"
Can I get takeaway?,Absolutely. Just ask for your meal to go! We’ll be happy to help!
Do you serve local dishes? 😊,Yup! You’ll find Kenyan favorites like nyama choma and ugali on special days.
Do you offer gift vouchers? 😊,"Yup, we do! Great idea for birthdays and anniversaries."
Can I get takeaway?,Absolutely. Just ask for your meal to go!
Do you have sugar‑free drinks?,"Yes, we’ve got sugar‑free juices and coffees on request."
Do you recycle or use eco‑friendly packaging?,We do our best! Most of our packaging is recyclable or biodegradable.
Do you recycle or use eco‑friendly packaging?,We do our best! Most of our packaging is recyclable or biodegradable.
Can I pre‑order food for pickup? 😊,Sure thing! Call ahead and we’ll have it ready for you.
Can I pay with M‑Pesa?,Definitely! Just use our till number at checkout.
Can I charge my phone there?,"Sure, there are charging outlets at most tables. We’ll be happy to help!"
What’s your signature coffee? 😊,Our Java House Double Latte is a must‑try!
Do you accept card payments? 😊,"Yes, all major cards are accepted – Visa, MasterCard, and more."
Do you accept card payments?,"Yes, all major cards are accepted – Visa, MasterCard, and more."
Do you serve local dishes?,Yup! You’ll find Kenyan favorites like nyama choma and ugali on special days.
Do you accept card payments?,"Yes, all major cards are accepted – Visa, MasterCard, and more."
Do you offer kids’ meals?,"Sure! We’ve got mini burgers, fries, and milkshakes for the little ones. We’ll be happy to help!"
Do you give change in cash? 😊,"Yup, we do. Just ask your server if you need change. We’ll be happy to help!"
Can I get takeaway? 😊,Absolutely. Just ask for your meal to go!
Do you recycle or use eco‑friendly packaging?,We do our best! Most of our packaging is recyclable or biodegradable. We’ll be happy to help!
Can I pay with M‑Pesa? 😊,Definitely! Just use our till number at checkout. We’ll be happy to help!
Do you serve breakfast?,Yes! We serve breakfast all day – from pancakes to omelets. We’ll be happy to help!
Can I pre‑order food for pickup? 😊,Sure thing! Call ahead and we’ll have it ready for you. We’ll be happy to help!
Can I host a meeting there? 😊,Sure! We’ve got cozy corners perfect for meetings. We’ll be happy to help!
Do you have combo meals?,Yes! Check our Promotions sheet for current combo deals.
Can I get extra toppings on my burger?,Absolutely! Just tell our staff your preference.
Do you have seasonal specials?,"Yes, seasonal items are updated regularly in our Promotions sheet."
Are there vegan desserts?,"Yes, we have a few vegan-friendly desserts. Just ask our staff."
Can I request my coffee to be decaf?,Of course! All coffee drinks can be made decaf.
Do you offer birthday discounts?,Sometimes! Check our social media or ask our staff when booking.
Can I pay via mobile banking other than M-Pesa?,"Yes, we accept other mobile payments on request."
Is there a kids’ menu for breakfast?,Yes! Mini pancakes and omelets are available for kids.
Can I book a table for a large group?,Absolutely! Please call ahead to reserve for more than 6 people.
Do you provide utensils for takeaway orders?,"Yes, all takeaway orders come with utensils and napkins."
Can I get my meal delivered outside Nairobi?,"Currently, we deliver only within Nairobi through Glovo and Uber Eats."
Do you offer sugar-free dessert options?,"Yes, ask our staff for sugar-free desserts available today."
Can I pre-order drinks only?,Yes! You can pre-order beverages via phone or online.
Is there a quiet corner for working?,"Yes, we have a few tables perfect for work or study."
Can I add extra cheese to my sandwich?,Sure! Just let us know how much extra you’d like.
Do you have healthy salad options?,"Yes, we have a variety of fresh salads with optional protein."
Can I request a custom smoothie?,Absolutely! You can pick your fruits and add-ons.
Is there a loyalty app I can use?,"Yes, our loyalty program is accessible via our website and app."
Do you provide catering for office meetings?,"Yes, we cater for small and medium office events."
Can I make a reservation online?,"Yes, reservations can be made through our website or mobile app."
Are there nut-free options?,"Yes, we can guide you to nut-free menu items."
Can I request a specific table?,"Yes, please mention your preference when booking."
Do you offer seasonal coffee flavors?,Yes! Seasonal flavors are available; check our Promotions sheet.
Is there a happy hour?,Occasionally! Check our Promotions sheet or social media for details.
Can I order a dessert platter?,"Yes, dessert platters can be pre-ordered for parties or events."
Do you provide gluten-free bread?,"Yes, gluten-free bread is available on request."
Can I gift someone a meal voucher?,Absolutely! Gift vouchers are available for all occasions.
Do you have breakfast combos?,"Yes, we have breakfast combos served all day."
Can I order extra sides with my meal?,Of course! Extra sides can be added for an additional cost.
Do you have takeaway packaging that is eco-friendly?,"Yes, we use recyclable and biodegradable packaging where possible."
Can I pay via card without contact?,"Yes, contactless card payments are accepted."
Are there any vegan drinks?,"Yes, plant-based milk options are available for all drinks."
Can I request my food to be less spicy?,Absolutely! Just let us know your spice preference.
Do you have breakfast pastries?,"Yes! We serve croissants, muffins, and other pastries all day."
Can I book a table for tomorrow morning?,"Yes, call or book online to reserve your table for tomorrow."
Is there wheelchair access?,"Yes, our restaurant is wheelchair accessible."
Do you offer loyalty points for online orders?,Yes! Online and delivery orders earn loyalty points.
Can I order only drinks for delivery?,"Yes, beverages can be ordered alone for delivery."
Do you offer catering for birthdays?,"Yes, we provide catering packages for birthday parties."
Can I split the bill among friends?,Absolutely! Bills can be split across multiple payment methods.
Do you have special meals for dietary restrictions?,"Yes, we can accommodate many dietary needs—just ask our staff."
