Category,Item,Price (KES),Estimated Prep Time (mins),Tags / Dietary Info
Wraps & Sandwiches,Grilled Chicken & Sundried Tomato Sandwich,"1,200",12,"Contains Meat, Contains Dairy, Contains Wheat"
Wraps & Sandwiches,Cheesy Chicken & Mushroom Sandwich,"1,240",12,"Contains Meat, Contains Dairy, Contains Wheat"
Wraps & Sandwiches,Triple Decker Sandwich,"1,280",12,"Contains Meat, Contains Dairy, Contains Wheat"
Wraps & Sandwiches,Java Lunch Combo,"1,440",15,"Contains Meat, Contains Dairy, Contains Wheat (plus sides: soup, chips, salad, or vegetables)"
Burgers,Umami Burger,"1,340",12,"Contains Meat, Contains Dairy, Contains Wheat"
Burgers,Hawaiian Caramelized Onion Burger,"1,340",12,"Contains Meat, Contains Dairy, Contains Wheat"
Burgers,Ben’s Burger,"1,360",12,"Contains Meat, Contains Dairy, Contains Wheat"
Burgers,Double-Double Burger,"1,670",15,"Contains Meat, Contains Dairy, Contains Wheat"
Burgers,Grilled Chicken Burger,"1,260",12,"Contains Meat, Contains Dairy, Contains Wheat"
Burgers,Crunchy Chicken Burger,"1,290",12,"Contains Meat, Contains Dairy, Contains Wheat"
Burgers,Grilled Chicken Cheese Burger,"1,300",12,"Contains Meat, Contains Dairy, Contains Wheat"
Burgers,Veggie Cheese Burger,"1,120",12,"Vegetarian, Contains Dairy, Contains Wheat"
Tex-Mex,Grilled Chicken Fajitas,"1,170",12,"Contains Meat, Contains Dairy, Contains Wheat"
Tex-Mex,Cheese Quesadilla,960,10,"Contains Meat, Contains Dairy, Contains Wheat"
Tex-Mex,Veggie Burrito,"1,260",12,"Vegetarian, Contains Dairy, Contains Wheat"
Tex-Mex,Chicken Burrito,"1,520",15,"Contains Meat, Contains Dairy, Contains Wheat"
Signature Dishes,Butter Chicken Korma,"1,420",15,"Contains Meat, Contains Dairy"
Signature Dishes,Swahili Coconut Fish Curry,"1,580",15,Contains Fish
Signature Dishes,Breaded Fish,"1,580",15,Contains Fish
Signature Dishes,Grilled Fish,"1,630",15,Contains Fish
Signature Dishes,1/4 Chicken and Chips,710,10,Contains Meat
Signature Dishes,Homestyle Chicken Dhania,"1,330",15,Contains Meat
Signature Dishes,Grilled Chicken Breast,"1,380",15,Contains Meat
Signature Dishes,Roast Half Chicken,"1,510",15,Contains Meat
Signature Dishes,Teriyaki Chicken Stir Fry,"1,560",15,"Contains Meat, Contains Soy (sauce), May contain Vegetables"
Signature Dishes,Teriyaki Beef Stir Fry,"1,560",15,"Contains Meat, Contains Soy (sauce), May contain Vegetables"
Signature Dishes,Grilled Fillet Steak,"1,660",15,Contains Meat
Signature Dishes,Mushroom Fillet Steak,"1,660",15,"Contains Fish, Contains Dairy"
Signature Dishes,Pepper Steak,"1,740",15,Contains Meat
Signature Dishes,Duo Star,"1,450",15,"Contains Meat (Beef & Chicken), Contains Soy (sauce), May contain Vegetables"
Pizza,The Plot Chickens (BBQ Chicken Pizza),"1,120",15,"Contains Meat, Contains Dairy, Contains Wheat"
Pizza,Hawaiian-Twist (Sweet & Sour Pineapple & Beef Sausage Pizza),"1,120",15,"Contains Meat, Contains Dairy, Contains Wheat, Contains Fruit (Pineapple)"
Pizza,Margherita Pizza,"1,010",15,"Vegetarian, Contains Dairy, Contains Wheat"
Pizza,Steak Sensation Pizza,"1,150",15,"Contains Meat, Contains Dairy, Contains Wheat"
Breakfast,Egg and Cheese Burrito with Steak and Egg,"1,440",12,"Contains Meat, Contains Eggs, Contains Dairy"
Sides,Chips spiced or regular,430,5,"Vegetarian, Vegan"
Sides,Potato Wedges spiced or regular,430,5,"Vegetarian, Vegan"
Sides,Chips Masala,580,6,"Vegetarian, Vegan"
Sides,Mushroom Chips,740,7,"Vegetarian, Contains Dairy"
Sides,Chips & Beef Sausage,740,7,"Contains Meat, Contains Dairy"
Sides,Loaded Fries,"1,260",12,"Contains Meat, Contains Dairy"
Snacks & Starters,Steak Pie,510,10,"Contains Meat, Contains Wheat"
Snacks & Starters,Beef Sausage Roll,520,10,"Contains Meat, Contains Wheat"
Snacks & Starters,Hotdogs (Al a Carte),700,7,"Contains Meat, Contains Wheat"
Snacks & Starters,2 Hotdogs with Chips,860,10,"Contains Meat, Contains Wheat"
Snacks & Starters,Chicken Wings 5 Pieces,750,10,Contains Meat
Snacks & Starters,Chicken Wings 10 Pieces,"1,170",15,Contains Meat
Salads,California Garden Salad with spicy chicken,"1,100",10,"Contains Meat, Vegetarian option"
Salads,Grilled Chicken Strip Salad with honey mustard dressing,"1,120",12,Contains Meat
Salads,Spicy Thai Chicken Salad,"1,280",12,Contains Meat
Salads,"Apple, Carrot & Roasted Cashew Salad","1,080",10,"Vegetarian, Contains Nuts"
Salads,Add Chicken Breast (extra),450,5,Contains Meat
Drinks,Tea (Regular or Masala),250,5,Vegetarian
Drinks,Americano,350,5,Vegetarian
Drinks,Latte,450,5,"Vegetarian, Contains Dairy"
Drinks,Cappuccino,300,5,"Vegetarian, Contains Dairy"
Drinks,Small Fresh Juice,350,5,"Vegetarian, Vegan"
Pizza Toppings,Pineapple,160,1,"Vegetarian, Vegan"
Pizza Toppings,Mozzarella or Halloumi Cheese,230,1,"Vegetarian, Contains Dairy"
Pizza Toppings,Mushroom,270,2,"Vegetarian, Vegan"
Pizza Toppings,Beef Sausage,340,2,Contains Meat
Pizza Toppings,Beef,430,2,Contains Meat
Pizza Toppings,Chicken,430,2,Contains Meat
