Category,Name / Question,Details / Answer,Price_KES,Tags_Dietary_Info,Estimated_Prep_Time_mins
Menu,Build Your Own Omelette - Beef Sausage,"Build Your Own Omelette - Beef Sausage: Price is 340 KES, prep time is 2 mins, dietary info: Vegetarian, Contains Eggs.",340,"Vegetarian, Contains Eggs",2.0
Menu,Build Your Own Omelette - Tomato,"Build Your Own Omelette - Tomato: Price is 70 KES, prep time is 1 mins, dietary info: Vegetarian, Contains Eggs, Contains Dairy, Contains Tomato.",70,"Vegetarian, Contains Eggs, Contains Dairy, Contains Tomato",1.0
Menu,Build Your Own Omelette - Onions,"Build Your Own Omelette - Onions: Price is 70 KES, prep time is 1 mins, dietary info: Vegetarian, Contains Eggs, Contains Dairy, Contains Onion.",70,"Vegetarian, Contains Eggs, Contains Dairy, Contains Onion",1.0
Menu,Build Your Own Omelette - Bell Pepper,"Build Your Own Omelette - Bell Pepper: Price is 70 KES, prep time is 1 mins, dietary info: Vegetarian, Contains Eggs, Contains Dairy, Contains Bell Pepper.",70,"Vegetarian, Contains Eggs, Contains Dairy, Contains Bell Pepper",1.0
Menu,Build Your Own Omelette - Mushrooms,"Build Your Own Omelette - Mushrooms: Price is 210 KES, prep time is 2 mins, dietary info: Vegetarian, Contains Dairy, Contains Eggs, Contains Mushrooms.",210,"Vegetarian, Contains Dairy, Contains Eggs, Contains Mushrooms",2.0
Menu,Baked Beans,"Baked Beans: Price is 180 KES, prep time is 5 mins, dietary info: Vegetarian.",180,Vegetarian,5.0
Menu,One Egg,"One Egg: Price is 190 KES, prep time is 3 mins, dietary info: Vegetarian, Contains Eggs.",190,"Vegetarian, Contains Eggs",3.0
Menu,Salsa,"Salsa: Price is 190 KES, prep time is 2 mins, dietary info: Vegetarian.",190,Vegetarian,2.0
Menu,Toast,"Toast: Price is 190 KES, prep time is 2 mins, dietary info: Vegetarian, Contains Wheat.",190,"Vegetarian, Contains Wheat",2.0
Menu,Honey Peanuts,"Honey Peanuts: Price is 230 KES, prep time is 1 mins, dietary info: Vegetarian, Contains Nuts, Contains Honey.",230,"Vegetarian, Contains Nuts, Contains Honey",1.0
Menu,Guacamole,"Guacamole: Price is 230 KES, prep time is 3 mins, dietary info: Vegetarian, Vegan.",230,"Vegetarian, Vegan",3.0
Menu,Parsley Wedges,"Parsley Wedges: Price is 310 KES, prep time is 5 mins, dietary info: Vegetarian, Vegan.",310,"Vegetarian, Vegan",5.0
Menu,Homefries,"Homefries: Price is 320 KES, prep time is 7 mins, dietary info: Vegetarian, Vegan.",320,"Vegetarian, Vegan",7.0
Menu,Sukumawiki,"Sukumawiki: Price is 360 KES, prep time is 7 mins, dietary info: Vegetarian, Vegan.",360,"Vegetarian, Vegan",7.0
Menu,Cashew Nuts,"Cashew Nuts: Price is 390 KES, prep time is 1 mins, dietary info: Vegetarian, Contains Nuts.",390,"Vegetarian, Contains Nuts",1.0
Menu,2 Beef Sausages,"2 Beef Sausages: Price is 430 KES, prep time is 5 mins, dietary info: Contains Meat.",430,Contains Meat,5.0
Menu,Grilled Onions,"Grilled Onions: Price is 150 KES, prep time is 3 mins, dietary info: ,Vegeterian,Contains Onions.",150,",Vegeterian,Contains Onions",3.0
Menu,Avocado,"Avocado: Price is 170 KES, prep time is 2 mins, dietary info: Vegetarian.",170,Vegetarian,2.0
Menu,Charred Bell Peppers,"Charred Bell Peppers: Price is 180 KES, prep time is 3 mins, dietary info: Vegeterian,Contains Bell Peppers.",180,"Vegeterian,Contains Bell Peppers",3.0
Menu,Mushroom Sauce,"Mushroom Sauce: Price is 210 KES, prep time is 3 mins, dietary info: Vegetarian, Vegan.",210,"Vegetarian, Vegan",3.0
Menu,Gherkins,"Gherkins: Price is 220 KES, prep time is 1 mins, dietary info: Vegetarian, Contains Dairy.",220,"Vegetarian, Contains Dairy",1.0
Menu,Cheese,"Cheese: Price is 220 KES, prep time is 1 mins, dietary info: Vegetarian, Vegan.",220,"Vegetarian, Vegan",1.0
Menu,Chapati (2),"Chapati (2): Price is 270 KES, prep time is 5 mins, dietary info: Vegetarian, Vegan, Contains Wheat.",270,"Vegetarian, Vegan, Contains Wheat",5.0
Menu,Mashed Potatoes,"Mashed Potatoes: Price is 310 KES, prep time is 5 mins, dietary info: Vegetarian, Contains Dairy.",310,"Vegetarian, Contains Dairy",5.0
Menu,White Rice,"White Rice: Price is 310 KES, prep time is 5 mins, dietary info: Vegetarian, Vegan.",310,"Vegetarian, Vegan",5.0
Menu,Mexican Beans,"Mexican Beans: Price is 310 KES, prep time is 5 mins, dietary info: Vegetarian, Vegan.",310,"Vegetarian, Vegan",5.0
Menu,Stir Fried Rice,"Stir Fried Rice: Price is 320 KES, prep time is 6 mins, dietary info: Vegetarian, May contain Eggs/Dairy depending on recipe.",320,"Vegetarian, May contain Eggs/Dairy depending on recipe",6.0
Menu,Mexican Rice,"Mexican Rice: Price is 320 KES, prep time is 6 mins, dietary info: Vegetarian, Vegan.",320,"Vegetarian, Vegan",6.0
Menu,Steamed Vegetables,"Steamed Vegetables: Price is 360 KES, prep time is 5 mins, dietary info: Vegetarian, Vegan.",360,"Vegetarian, Vegan",5.0
Menu,Crunchy Chicken Strip Wrap,"Crunchy Chicken Strip Wrap: Price is 1,140 KES, prep time is 12 mins, dietary info: Contains Meat, Contains Dairy, Contains Wheat.","1,140","Contains Meat, Contains Dairy, Contains Wheat",12.0
Menu,Halloumi & Avocado Wrap,"Halloumi & Avocado Wrap: Price is 1,050 KES, prep time is 10 mins, dietary info: Vegetarian, Contains Dairy, Contains Wheat.","1,050","Vegetarian, Contains Dairy, Contains Wheat",10.0
Menu,Chicken Fajita Wrap,"Chicken Fajita Wrap: Price is 1,190 KES, prep time is 12 mins, dietary info: Contains Meat, Contains Dairy, Contains Wheat.","1,190","Contains Meat, Contains Dairy, Contains Wheat",12.0
Menu,California Chicken Wrap,"California Chicken Wrap: Price is 1,190 KES, prep time is 12 mins, dietary info: Contains Meat, Contains Dairy, Contains Wheat.","1,190","Contains Meat, Contains Dairy, Contains Wheat",12.0
Menu,BBQ Chicken & Cheese Wrap,"BBQ Chicken & Cheese Wrap: Price is 1,160 KES, prep time is 12 mins, dietary info: Vegetarian, Contains Dairy, Contains Wheat.","1,160","Vegetarian, Contains Dairy, Contains Wheat",12.0
Menu,Grilled Cheese Sandwich,"Grilled Cheese Sandwich: Price is 880 KES, prep time is 7 mins, dietary info: Vegetarian, Contains Dairy, Contains Wheat.",880,"Vegetarian, Contains Dairy, Contains Wheat",7.0
Menu,"Avocado, Cheese & Tomato Sandwich","Avocado, Cheese & Tomato Sandwich: Price is 890 KES, prep time is 7 mins, dietary info: Vegetarian, Contains Dairy, Contains Wheat.",890,"Vegetarian, Contains Dairy, Contains Wheat",7.0
Menu,Chicken & Cheese Sandwich,"Chicken & Cheese Sandwich: Price is 890 KES, prep time is 8 mins, dietary info: Contains Meat, Contains Dairy, Contains Wheat.",890,"Contains Meat, Contains Dairy, Contains Wheat",8.0
Menu,BBQ Chicken Club,"BBQ Chicken Club: Price is 890 KES, prep time is 8 mins, dietary info: Contains Meat, Contains Dairy, Contains Wheat.",890,"Contains Meat, Contains Dairy, Contains Wheat",8.0
Menu,Vegetable & Halloumi Panini,"Vegetable & Halloumi Panini: Price is 1,070 KES, prep time is 10 mins, dietary info: Vegetarian, Contains Dairy, Contains Wheat.","1,070","Vegetarian, Contains Dairy, Contains Wheat",10.0
Menu,Grilled Veggie Sandwich with Red Pepper Spread,"Grilled Veggie Sandwich with Red Pepper Spread: Price is 1,080 KES, prep time is 10 mins, dietary info: Vegetarian, Contains Dairy, Contains Wheat.","1,080","Vegetarian, Contains Dairy, Contains Wheat",10.0
Menu,Grilled Chicken & Sundried Tomato Sandwich,"Grilled Chicken & Sundried Tomato Sandwich: Price is 1,200 KES, prep time is 12 mins, dietary info: Contains Meat, Contains Dairy, Contains Wheat.","1,200","Contains Meat, Contains Dairy, Contains Wheat",12.0
Menu,Cheesy Chicken & Mushroom Sandwich,"Cheesy Chicken & Mushroom Sandwich: Price is 1,240 KES, prep time is 12 mins, dietary info: Contains Meat, Contains Dairy, Contains Wheat.","1,240","Contains Meat, Contains Dairy, Contains Wheat",12.0
Menu,Triple Decker Sandwich,"Triple Decker Sandwich: Price is 1,280 KES, prep time is 12 mins, dietary info: Contains Meat, Contains Dairy, Contains Wheat.","1,280","Contains Meat, Contains Dairy, Contains Wheat",12.0
Menu,Java Lunch Combo,"Java Lunch Combo: Price is 1,440 KES, prep time is 15 mins, dietary info: Contains Meat, Contains Dairy, Contains Wheat (plus sides: soup, chips, salad, or vegetables).","1,440","Contains Meat, Contains Dairy, Contains Wheat (plus sides: soup, chips, salad, or vegetables)",15.0
Menu,Umami Burger,"Umami Burger: Price is 1,340 KES, prep time is 12 mins, dietary info: Contains Meat, Contains Dairy, Contains Wheat.","1,340","Contains Meat, Contains Dairy, Contains Wheat",12.0
Menu,Hawaiian Caramelized Onion Burger,"Hawaiian Caramelized Onion Burger: Price is 1,340 KES, prep time is 12 mins, dietary info: Contains Meat, Contains Dairy, Contains Wheat.","1,340","Contains Meat, Contains Dairy, Contains Wheat",12.0
Menu,Ben’s Burger,"Ben’s Burger: Price is 1,360 KES, prep time is 12 mins, dietary info: Contains Meat, Contains Dairy, Contains Wheat.","1,360","Contains Meat, Contains Dairy, Contains Wheat",12.0
Menu,Double-Double Burger,"Double-Double Burger: Price is 1,670 KES, prep time is 15 mins, dietary info: Contains Meat, Contains Dairy, Contains Wheat.","1,670","Contains Meat, Contains Dairy, Contains Wheat",15.0
Menu,Grilled Chicken Burger,"Grilled Chicken Burger: Price is 1,260 KES, prep time is 12 mins, dietary info: Contains Meat, Contains Dairy, Contains Wheat.","1,260","Contains Meat, Contains Dairy, Contains Wheat",12.0
Menu,Crunchy Chicken Burger,"Crunchy Chicken Burger: Price is 1,290 KES, prep time is 12 mins, dietary info: Contains Meat, Contains Dairy, Contains Wheat.","1,290","Contains Meat, Contains Dairy, Contains Wheat",12.0
Menu,Grilled Chicken Cheese Burger,"Grilled Chicken Cheese Burger: Price is 1,300 KES, prep time is 12 mins, dietary info: Contains Meat, Contains Dairy, Contains Wheat.","1,300","Contains Meat, Contains Dairy, Contains Wheat",12.0
Menu,Veggie Cheese Burger,"Veggie Cheese Burger: Price is 1,120 KES, prep time is 12 mins, dietary info: Vegetarian, Contains Dairy, Contains Wheat.","1,120","Vegetarian, Contains Dairy, Contains Wheat",12.0
Menu,Grilled Chicken Fajitas,"Grilled Chicken Fajitas: Price is 1,170 KES, prep time is 12 mins, dietary info: Contains Meat, Contains Dairy, Contains Wheat.","1,170","Contains Meat, Contains Dairy, Contains Wheat",12.0
Menu,Cheese Quesadilla,"Cheese Quesadilla: Price is 960 KES, prep time is 10 mins, dietary info: Contains Meat, Contains Dairy, Contains Wheat.",960,"Contains Meat, Contains Dairy, Contains Wheat",10.0
Menu,Veggie Burrito,"Veggie Burrito: Price is 1,260 KES, prep time is 12 mins, dietary info: Vegetarian, Contains Dairy, Contains Wheat.","1,260","Vegetarian, Contains Dairy, Contains Wheat",12.0
Menu,Chicken Burrito,"Chicken Burrito: Price is 1,520 KES, prep time is 15 mins, dietary info: Contains Meat, Contains Dairy, Contains Wheat.","1,520","Contains Meat, Contains Dairy, Contains Wheat",15.0
Menu,Butter Chicken Korma,"Butter Chicken Korma: Price is 1,420 KES, prep time is 15 mins, dietary info: Contains Meat, Contains Dairy.","1,420","Contains Meat, Contains Dairy",15.0
Menu,Swahili Coconut Fish Curry,"Swahili Coconut Fish Curry: Price is 1,580 KES, prep time is 15 mins, dietary info: Contains Fish.","1,580",Contains Fish,15.0
Menu,Breaded Fish,"Breaded Fish: Price is 1,580 KES, prep time is 15 mins, dietary info: Contains Fish.","1,580",Contains Fish,15.0
Menu,Grilled Fish,"Grilled Fish: Price is 1,630 KES, prep time is 15 mins, dietary info: Contains Fish.","1,630",Contains Fish,15.0
Menu,1/4 Chicken and Chips,"1/4 Chicken and Chips: Price is 710 KES, prep time is 10 mins, dietary info: Contains Meat.",710,Contains Meat,10.0
Menu,Homestyle Chicken Dhania,"Homestyle Chicken Dhania: Price is 1,330 KES, prep time is 15 mins, dietary info: Contains Meat.","1,330",Contains Meat,15.0
Menu,Grilled Chicken Breast,"Grilled Chicken Breast: Price is 1,380 KES, prep time is 15 mins, dietary info: Contains Meat.","1,380",Contains Meat,15.0
Menu,Roast Half Chicken,"Roast Half Chicken: Price is 1,510 KES, prep time is 15 mins, dietary info: Contains Meat.","1,510",Contains Meat,15.0
Menu,Teriyaki Chicken Stir Fry,"Teriyaki Chicken Stir Fry: Price is 1,560 KES, prep time is 15 mins, dietary info: Contains Meat, Contains Soy (sauce), May contain Vegetables.","1,560","Contains Meat, Contains Soy (sauce), May contain Vegetables",15.0
Menu,Teriyaki Beef Stir Fry,"Teriyaki Beef Stir Fry: Price is 1,560 KES, prep time is 15 mins, dietary info: Contains Meat, Contains Soy (sauce), May contain Vegetables.","1,560","Contains Meat, Contains Soy (sauce), May contain Vegetables",15.0
Menu,Grilled Fillet Steak,"Grilled Fillet Steak: Price is 1,660 KES, prep time is 15 mins, dietary info: Contains Meat.","1,660",Contains Meat,15.0
Menu,Mushroom Fillet Steak,"Mushroom Fillet Steak: Price is 1,660 KES, prep time is 15 mins, dietary info: Contains Fish, Contains Dairy.","1,660","Contains Fish, Contains Dairy",15.0
Menu,Pepper Steak,"Pepper Steak: Price is 1,740 KES, prep time is 15 mins, dietary info: Contains Meat.","1,740",Contains Meat,15.0
Menu,Duo Star,"Duo Star: Price is 1,450 KES, prep time is 15 mins, dietary info: Contains Meat (Beef & Chicken), Contains Soy (sauce), May contain Vegetables.","1,450","Contains Meat (Beef & Chicken), Contains Soy (sauce), May contain Vegetables",15.0
Menu,The Plot Chickens (BBQ Chicken Pizza),"The Plot Chickens (BBQ Chicken Pizza): Price is 1,120 KES, prep time is 15 mins, dietary info: Contains Meat, Contains Dairy, Contains Wheat.","1,120","Contains Meat, Contains Dairy, Contains Wheat",15.0
Menu,Hawaiian-Twist (Sweet & Sour Pineapple & Beef Sausage Pizza),"Hawaiian-Twist (Sweet & Sour Pineapple & Beef Sausage Pizza): Price is 1,120 KES, prep time is 15 mins, dietary info: Contains Meat, Contains Dairy, Contains Wheat, Contains Fruit (Pineapple).","1,120","Contains Meat, Contains Dairy, Contains Wheat, Contains Fruit (Pineapple)",15.0
Menu,Margherita Pizza,"Margherita Pizza: Price is 1,010 KES, prep time is 15 mins, dietary info: Vegetarian, Contains Dairy, Contains Wheat.","1,010","Vegetarian, Contains Dairy, Contains Wheat",15.0
Menu,Steak Sensation Pizza,"Steak Sensation Pizza: Price is 1,150 KES, prep time is 15 mins, dietary info: Contains Meat, Contains Dairy, Contains Wheat.","1,150","Contains Meat, Contains Dairy, Contains Wheat",15.0
Menu,Egg and Cheese Burrito with Steak and Egg,"Egg and Cheese Burrito with Steak and Egg: Price is 1,440 KES, prep time is 12 mins, dietary info: Contains Meat, Contains Eggs, Contains Dairy.","1,440","Contains Meat, Contains Eggs, Contains Dairy",12.0
Menu,Chips spiced or regular,"Chips spiced or regular: Price is 430 KES, prep time is 5 mins, dietary info: Vegetarian, Vegan.",430,"Vegetarian, Vegan",5.0
Menu,Potato Wedges spiced or regular,"Potato Wedges spiced or regular: Price is 430 KES, prep time is 5 mins, dietary info: Vegetarian, Vegan.",430,"Vegetarian, Vegan",5.0
Menu,Chips Masala,"Chips Masala: Price is 580 KES, prep time is 6 mins, dietary info: Vegetarian, Vegan.",580,"Vegetarian, Vegan",6.0
Menu,Mushroom Chips,"Mushroom Chips: Price is 740 KES, prep time is 7 mins, dietary info: Vegetarian, Contains Dairy.",740,"Vegetarian, Contains Dairy",7.0
Menu,Chips & Beef Sausage,"Chips & Beef Sausage: Price is 740 KES, prep time is 7 mins, dietary info: Contains Meat, Contains Dairy.",740,"Contains Meat, Contains Dairy",7.0
Menu,Loaded Fries,"Loaded Fries: Price is 1,260 KES, prep time is 12 mins, dietary info: Contains Meat, Contains Dairy.","1,260","Contains Meat, Contains Dairy",12.0
Menu,Steak Pie,"Steak Pie: Price is 510 KES, prep time is 10 mins, dietary info: Contains Meat, Contains Wheat.",510,"Contains Meat, Contains Wheat",10.0
Menu,Beef Sausage Roll,"Beef Sausage Roll: Price is 520 KES, prep time is 10 mins, dietary info: Contains Meat, Contains Wheat.",520,"Contains Meat, Contains Wheat",10.0
Menu,Hotdogs (Al a Carte),"Hotdogs (Al a Carte): Price is 700 KES, prep time is 7 mins, dietary info: Contains Meat, Contains Wheat.",700,"Contains Meat, Contains Wheat",7.0
Menu,2 Hotdogs with Chips,"2 Hotdogs with Chips: Price is 860 KES, prep time is 10 mins, dietary info: Contains Meat, Contains Wheat.",860,"Contains Meat, Contains Wheat",10.0
Menu,Chicken Wings 5 Pieces,"Chicken Wings 5 Pieces: Price is 750 KES, prep time is 10 mins, dietary info: Contains Meat.",750,Contains Meat,10.0
Menu,Chicken Wings 10 Pieces,"Chicken Wings 10 Pieces: Price is 1,170 KES, prep time is 15 mins, dietary info: Contains Meat.","1,170",Contains Meat,15.0
Menu,California Garden Salad with spicy chicken,"California Garden Salad with spicy chicken: Price is 1,100 KES, prep time is 10 mins, dietary info: Contains Meat, Vegetarian option.","1,100","Contains Meat, Vegetarian option",10.0
Menu,Grilled Chicken Strip Salad with honey mustard dressing,"Grilled Chicken Strip Salad with honey mustard dressing: Price is 1,120 KES, prep time is 12 mins, dietary info: Contains Meat.","1,120",Contains Meat,12.0
Menu,Spicy Thai Chicken Salad,"Spicy Thai Chicken Salad: Price is 1,280 KES, prep time is 12 mins, dietary info: Contains Meat.","1,280",Contains Meat,12.0
Menu,"Apple, Carrot & Roasted Cashew Salad","Apple, Carrot & Roasted Cashew Salad: Price is 1,080 KES, prep time is 10 mins, dietary info: Vegetarian, Contains Nuts.","1,080","Vegetarian, Contains Nuts",10.0
Menu,Add Chicken Breast (extra),"Add Chicken Breast (extra): Price is 450 KES, prep time is 5 mins, dietary info: Contains Meat.",450,Contains Meat,5.0
Menu,Tea (Regular or Masala),"Tea (Regular or Masala): Price is 250 KES, prep time is 5 mins, dietary info: Vegetarian.",250,Vegetarian,5.0
Menu,Americano,"Americano: Price is 350 KES, prep time is 5 mins, dietary info: Vegetarian.",350,Vegetarian,5.0
Menu,Latte,"Latte: Price is 450 KES, prep time is 5 mins, dietary info: Vegetarian, Contains Dairy.",450,"Vegetarian, Contains Dairy",5.0
Menu,Cappuccino,"Cappuccino: Price is 300 KES, prep time is 5 mins, dietary info: Vegetarian, Contains Dairy.",300,"Vegetarian, Contains Dairy",5.0
Menu,Small Fresh Juice,"Small Fresh Juice: Price is 350 KES, prep time is 5 mins, dietary info: Vegetarian, Vegan.",350,"Vegetarian, Vegan",5.0
Menu,Pineapple,"Pineapple: Price is 160 KES, prep time is 1 mins, dietary info: Vegetarian, Vegan.",160,"Vegetarian, Vegan",1.0
Menu,Mozzarella or Halloumi Cheese,"Mozzarella or Halloumi Cheese: Price is 230 KES, prep time is 1 mins, dietary info: Vegetarian, Contains Dairy.",230,"Vegetarian, Contains Dairy",1.0
